BC Liquor Distribution Branch   ,12.50%,14.30%,-1.70%,626,"$146,558 "
BC Pension Corporation ,49.70%,57.50%,-7.80%,300,"$56,829 "
BC Public Service Agency ,32.60%,28.20%,4.40%,182,"$62,086 "
BC Securities Commission ,9.30%,15.00%,-5.70%,21,"$16,598 "
Community Living BC ,3.00%,4.40%,-1.50%,20,"$11,124 "
Destination BC Corporation,9.00%,7.00%,2.00%,9,"$7,748 "
Elections BC ,70.30%,100.00%,-29.70%,52,"$17,477 "
Emergency Management BC,14.70%,7.60%,7.10%,35,"$21,426 "
Environmental Assessment Office ,30.70%,32.80%,-2.10%,101,"$43,797 "
Forest Practices Board ,27.80%,23.80%,4.00%,5,"$2,912 "
Government Communications and Public Engagement,25.60%,23.20%,2.40%,63,"$22,893 "
Legislative Assembly of BC,29.10%,50.30%,-21.20%,53,"$21,133 "
"Ministry of Advanced Education, Skills and Training",30.70%,21.90%,8.80%,124,"$45,908 "
Ministry of Agriculture,19.60%,15.20%,4.40%,86,"$34,724 "
Ministry of Attorney General,7.90%,5.60%,2.30%,371,"$219,709 "
Ministry of Children and Family Development,7.90%,8.60%,-0.60%,402,"$154,847 "
Ministry of Citizens' Services,25.30%,23.30%,1.90%,516,"$157,192 "
Ministry of Education ,37.30%,37.30%,0.10%,144,"$41,317 "
"Ministry of Energy, Mines and Petroleum Resources",33.20%,37.40%,-4.20%,137,"$43,193 "
Ministry of Environment and Climate Change Strategy,25.40%,25.00%,0.50%,278,"$98,051 "
Ministry of Finance ,68.10%,70.60%,-2.50%,889,"$191,437 "
"Ministry of Forests, Lands, Natural Resource Operations and Rural Development",7.60%,8.40%,-0.80%,379,"$150,893 "
Ministry of Health ,22.00%,19.50%,2.40%,338,"$97,483 "
Ministry of Indigenous Relations and Reconciliation,34.40%,30.50%,3.90%,77,"$48,442 "
"Ministry of Jobs, Economic Development and Competitiveness",26.20%,21.30%,4.90%,93,"$44,624 "
Ministry of Labour,20.60%,23.90%,-3.30%,73,"$28,148 "
Ministry of Mental Health and Addictions,46.40%,41.90%,4.40%,32,"$9,306 "
Ministry of Municipal Affairs and Housing,30.40%,31.30%,-0.90%,144,"$52,484 "
Ministry of Public Safety and Solicitor General,6.50%,5.30%,1.30%,233,"$90,627 "
Ministry of Social Development and Poverty Reduction,26.80%,23.20%,3.70%,549,"$147,360 "
"Ministry of Tourism, Arts and Culture",41.00%,32.90%,8.10%,32,"$11,230 "
Ministry of Transportation and Infrastructure ,9.30%,9.80%,-0.50%,142,"$52,496 "
Office of Information and Privacy Commissioner,58.50%,56.40%,2.10%,24,"$15,224 "
Office of the Auditor General of BC,39.30%,48.60%,-9.40%,44,"$26,942 "
Office of the Merit Commissioner ,85.70%,100.00%,-14.30%,6,"$2,206 "
Office of the Ombudsperson ,40.00%,63.00%,-23.00%,32,"$15,153 "
Office of the Premier ,67.20%,48.20%,19.00%,41,"$15,278 "
Royal BC Museum ,21.30%,22.70%,-1.30%,29,"$16,210 "
"Other (Includes Retirees, BC Representative for Children and Youth)",-,-,-,12,"$9,478 "
